name,role,team,price,expected_points,position_scarcity,risk_factor,ev_score,ev_percentile
Fadera,C,Sassuolo,16,14.331100478468901,0.15180722891566265,0.31939759036144577,2.420944575444702,0.45233463035019456
Atta,C,Udinese,16,14.331100478468901,0.15180722891566265,0.31939759036144577,2.420944575444702,0.45233463035019456
Johnsen,A,Cremonese,13,15.414432989690724,0.18529411764705883,0.4176470588235294,2.420347130815831,0.4474708171206226
Beltran L.,A,Fiorentina,13,15.414432989690724,0.18529411764705883,0.4176470588235294,2.420347130815831,0.4474708171206226
Esposito F.P.,A,Inter,13,15.414432989690724,0.18529411764705883,0.4176470588235294,2.420347130815831,0.4474708171206226
Pobega,C,Bologna,22,19.108133971291867,0.15180722891566265,0.3007228915662651,2.411996728346629,0.44260700389105057
Rovella,C,Lazio,22,19.108133971291867,0.15180722891566265,0.3007228915662651,2.411996728346629,0.44260700389105057
Pierini,A,Sassuolo,9,11.010309278350515,0.18529411764705883,0.43823529411764706,2.4088992808304104,0.4396887159533074
Jashari,C,Milan,39,31.050717703349285,0.15180722891566265,0.24771084337349397,2.3786122112589,0.4377431906614786
Vandeputte,C,Cremonese,36,28.662200956937802,0.15180722891566265,0.2519277108433735,2.365279183168884,0.4357976653696498
Baturina,C,Como,26,21.49665071770335,0.15180722891566265,0.2802409638554217,2.363286554794991,0.433852140077821
Romagnoli,D,Lazio,22,18.8,0.15806451612903225,0.2881720430107527,2.357121212121212,0.43190661478599224
Moreno Alb.,D,Como,7,7.050000000000001,0.15806451612903225,0.3967741935483871,2.3541964285714294,0.42509727626459143
Norton-Cuffy,D,Genoa,7,7.050000000000001,0.15806451612903225,0.3967741935483871,2.3541964285714294,0.42509727626459143
Giannetti L.,D,Udinese,7,7.050000000000001,0.15806451612903225,0.3967741935483871,2.3541964285714294,0.42509727626459143
Balogh,D,Parma,7,7.050000000000001,0.15806451612903225,0.3967741935483871,2.3541964285714294,0.42509727626459143
Azzi,D,Cremonese,7,7.050000000000001,0.15806451612903225,0.3967741935483871,2.3541964285714294,0.42509727626459143
Idrissi R.,D,Cagliari,7,7.050000000000001,0.15806451612903225,0.3967741935483871,2.3541964285714294,0.42509727626459143
Vlasic,C,Torino,46,35.82775119617225,0.15180722891566265,0.23927710843373495,2.3529896094511296,0.4182879377431907
Kamara H.,D,Udinese,19,16.45,0.15806451612903225,0.2994623655913978,2.350257675438596,0.4153696498054475
Lazaro,D,Torino,19,16.45,0.15806451612903225,0.2994623655913978,2.350257675438596,0.4153696498054475
Dele-Bashiru,C,Lazio,33,26.273684210526316,0.15180722891566265,0.26036144578313253,2.3386131269888515,0.41245136186770426
Obert,D,Cagliari,10,9.4,0.15806451612903225,0.35860215053763445,2.336291666666667,0.4075875486381323
Goglichidze,D,Udinese,10,9.4,0.15806451612903225,0.35860215053763445,2.336291666666667,0.4075875486381323
Ndiaye,D,Parma,10,9.4,0.15806451612903225,0.35860215053763445,2.336291666666667,0.4075875486381323
Ghilardi,D,Roma,10,9.4,0.15806451612903225,0.35860215053763445,2.336291666666667,0.4075875486381323
Pezzella Giu.,D,Cremonese,13,11.75,0.15806451612903225,0.33440860215053764,2.331169871794872,0.40175097276264593
Ostigard,D,Genoa,13,11.75,0.15806451612903225,0.33440860215053764,2.331169871794872,0.40175097276264593
